Days,ID,treat,Plant,Mandarin,WT,DO,OSS,TN,DTN,TP,DTP,Chl,CH4,CO2,ChlTN,ChlTP,Carpbiomass,Mandarinbiomass,Carpnumber,Daphnia,Cladoceran,Copepod,Rotifer,Total,Phytoplankton,zppp,Cyanophyta,Bacillariophyta,Pyrrophyta,Chrysophyta,Cryptophyta,Euglenophyta,Chlorophyta,Cla,Cop,Rot,Zoopsize
0,1,LPMA,Low,Absent,22.3,4.66,2.1,0.57,0.47,0.0147,0.0062,8,1.4231467,-205.9458412,14.03508772,544.2176871,,0,,134,156,127,19,302,4.1036,,,,,,,,,,,,
0,2,LPMA,Low,Absent,22.3,4.63,1.1,0.76,0.61,0.0134,0.0063,6.3,1.6966459,-154.3965219,8.289473684,470.1492537,,0,,169,186,103,18,307,3.0269,,,,,,,,,,,,
0,4,LPMA,Low,Absent,22.2,4.65,1.5,0.53,0.45,0.0105,0.0077,6.8,1.4894579,-185.2934259,12.83018868,647.6190476,,0,,204,219,144,32,395,4.5681,,,,,,,,,,,,
0,3,LPMP,Low,Present,22.3,4.81,1.1,0.62,0.52,0.0128,0.0091,7,1.8329416,-206.3461592,11.29032258,546.875,,1.18,,166,178,127,24,329,5.0362,,,,,,,,,,,,
0,5,LPMP,Low,Present,22.4,4.64,0.8,0.6,0.55,0.0114,0.0071,6.5,1.6437948,-159.4231944,10.83333333,570.1754386,,1.26,,196,214,157,18,389,3.2149,,,,,,,,,,,,
0,6,LPMP,Low,Present,22.2,4.85,0.7,0.67,0.56,0.017,0.0079,6.4,1.2294157,-204.6112859,9.552238806,376.4705882,,1.23,,172,186,119,31,336,2.2164,,,,,,,,,,,,
0,7,HPMA,High,Absent,22.3,4.96,1.4,0.59,0.4,0.0114,0.0049,7.7,1.6417945,-106.247958,13.05084746,675.4385965,,0,,144,162,104,11,277,4.6578,,,,,,,,,,,,
0,10,HPMA,High,Absent,22.5,4.12,0.9,0.57,0.5,0.0109,0.0058,3.5,1.51349579,-209.2471912,6.140350877,321.1009174,,0,,215,231,131,39,401,2.3692,,,,,,,,,,,,
0,11,HPMA,High,Absent,22.3,4.32,0.9,0.53,0.46,0.0107,0.0052,5.5,1.3341972,-212.4219452,10.37735849,514.0186916,,0,,181,197,117,23,337,3.8254,,,,,,,,,,,,
0,8,HPMP,High,Present,22.2,4.35,0.7,0.64,0.48,0.0123,0.006,5,1.6312898,-255.2841795,7.8125,406.504065,,1.25,,146,183,146,25,354,4.5697,,,,,,,,,,,,
0,9,HPMP,High,Present,22.5,4.61,1.7,0.59,0.48,0.0128,0.0056,6.2,1.3984322,-254.5297418,10.50847458,484.375,,1.24,,172,195,93,39,327,2.6891,,,,,,,,,,,,
0,12,HPMP,High,Present,22.3,4.69,1.9,0.51,0.42,0.011,0.0092,6.5,1.4213455,-118.2974522,12.74509804,590.9090909,,1.19,,193,218,130,9,357,4.1273,,,,,,,,,,,,
3,1,LPMA,Low,Absent,22.1,5.79,3.2,0.74,0.43,0.016,0.0107,10.3,2.0294177,-221.4217544,13.91891892,643.75,,,,,,,,,,,,,,,,,,,,,
3,2,LPMA,Low,Absent,22.3,5.88,3,0.96,0.45,0.0181,0.0109,10.2,2.1241277,-212.3897475,10.625,563.5359116,,,,,,,,,,,,,,,,,,,,,
3,4,LPMA,Low,Absent,22.2,4.91,1.8,0.61,0.59,0.0121,0.0098,6.3,1.3945794,-145.2974752,10.32786885,520.661157,,,,,,,,,,,,,,,,,,,,,
3,3,LPMP,Low,Present,22,4.68,1.2,0.71,0.54,0.0151,0.0092,6.7,2.3694513,-103.6942411,9.436619718,443.7086093,,,,,,,,,,,,,,,,,,,,,
3,5,LPMP,Low,Present,22.1,5.11,1.4,0.65,0.57,0.0149,0.0094,6.4,1.2383717,-169.1274941,9.846153846,429.5302013,,,,,,,,,,,,,,,,,,,,,
